State,Institution Name,Routing Numbers
Virginia,1ST ADVANTAGE,
Illinois,1st Community Bank,071109037
Louisiana,3RD DISTRICT HIGHWAY,
Texas,ABILENE TEACHERS,
Minnesota,ACCENTRA,
Ohio,ACME,
Colorado,AFFIDIAN,
Wisconsin,AIR TECH,
Massachusetts,ALBRIGHT,
Pennsylvania,ALIQUIPPA TEACHERS,
Oklahoma,ALLEGIANCE,
Massachusetts,ALLTRUST,
Tennessee,AMERICAN SPIRIT,
Illinois,ANCO COMMUNITY,
Virginia,APPLE,
Illinois,AREA EDUCATIONAL,
Pennsylvania,ARMSTRONG ASSOCIATES,
Georgia,ASSOCIATED CREDIT UNION,
Colorado,AURORA,
Michigan,AWAKON,
Massachusetts,Adams Community Bank,011805388
Oklahoma,AllNations Bank,103107004
California,Altos Bank,
Minnesota,American Bank & Trust,091405753
Oklahoma,"American Exchange Bank, Lindsay, Oklahoma",103103668
California,"American Plus Bank, N.A.",122244663
Illinois,Anderson State Bank,071110262
Kansas,Argentine Federal Savings,301070852
California,Asian Pacific National Bank,122086944
Iowa,Availa Bank,073902546
Texas,BAKER HUGHES,
Louisiana,BARTON PLANT EMPLOYEES,
Texas,BAYCEL,
Texas,BCM,
California,BEFIT FINANCIAL,
Illinois,BEREAN,
Pennsylvania,BHCU,
Illinois,BLAW-KNOX,
Missouri,BLUESCOPE EMPLOYEES',
Massachusetts,BOSTON FIREFIGHTERS,
Texas,BRAZOS COMMUNITY,
Massachusetts,BRIGHTBRIDGE ,
Massachusetts,BROTHERHOOD,
Florida,Banco do Brasil Americas,067012688
Iowa,Bank Iowa,073920285
Michigan,Bank of Ann Arbor,072413735
Kentucky,Bank of Buffalo,083904505
Colorado,Bank of Colorado,107002448
Wisconsin,Bank of Deerfield,075905004
Alabama,Bank of Evergreen,062105532
Georgia,Bank of Hancock County,061107146
Kentucky,Bank of Jamestown,083905216
Minnesota,Bank of Maple Plain,091908412
Georgia,Bank of Newington,061209617
Illinois,Bank of Rantoul,071107453
Texas,Bank of Texas,111323809
Indiana,Bank of Wolcott,074913194
Texas,Bank of the West,111305856
Florida,BankMiami,067017146
Wisconsin,Baraboo State Bank,075901590
Florida,BayFirst National Bank,063114551
Ohio,Belmont Savings Bank,243270671
North Carolina,"Black Mountain Savings Bank, SSB",253170091
Texas,Bodcaw Bank,082904360
Florida,Brannen Bank,063104626
Minnesota,Bridgewater Bank,091014487
Illinois,Buckley State Bank,071111957
Texas,CABOT COMMUNITY,
California,CALCOM,
New Jersey,CAMDEN FIREMEN'S,
Texas,CAPITOL,
Michigan,CASE,
Virginia,CELCO COMMUNITY,
New Jersey,CENTRAL JERSEY,
California,CENTRAL VALLEY FIREFIGHTERS,
California,CHAFFEY,
Alabama,CHEMCO,
Illinois,CHICAGO POST OFFICE EMPLOYEES,
Virginia,CHRISTIANSTED,
Pennsylvania,CITYMARK,
Ohio,CLEVELAND SELFRELIANCE,
Missouri,CO - LIB,
Texas,COASTLIFE,
Iowa,COLLINS COMMUNITY,
Massachusetts,COMMON TRUST,
Minnesota,COMMUNITY FIRST BANK,091208471
Illinois,COMMUNITY TRUST,
Michigan,CONSUMERS PROFESSIONAL,
Iowa,CORDA,
California,CORRECTIONS,
Georgia,COWETA CITIES & COUNTY EMPLOYEES,
Georgia,CREDIT UNION OF GEORGIA,
Louisiana,CUSA,
California,"California International Bank, N.A.",122244032
Texas,Capital Bank,113002296
Kansas,Centera Bank,101110271
Florida,Century Bank of Florida,063115039
Nebraska,Chambers State Bank,104106800
Iowa,Cherokee State Bank,073901974
Texas,Citizens 1st Bank,311973677
Florida,Citizens Bank and Trust,063103407
Missouri,Citizens Bank of Rogersville,081507166
Michigan,Citizens National Bank of Cheboygan,072402212
Illinois,Citizens State Bank of Milford,071107699
Iowa,City State Bank,073911061
Wisconsin,Cleveland State Bank,075904856
Louisiana,Colfax Banking Company,111101636
Florida,Commerce Bank & Trust,063115408
Iowa,Commercial Savings Bank,073919571
Illinois,Community Bank of Easton,071123398
Missouri,Community Bank of Pleasant Hill,101219279
Indiana,Community First Bank of Indiana,074914407
Minnesota,Community Resource Bank,091917160
Minnesota,Concorde Bank,091909518
Minnesota,CorTrust Bank National Association,091015143
Kansas,Cottonwood Valley Bank,101107747
Ohio,Credit First National Association,041202980
Kentucky,"Cumberland Security Bank, Inc.",042104854
Minnesota,DANFOSS EMPLOYEES,
Illinois,DECATUR POLICEMEN,
Tennessee,DELTA REFINING CO EMP,
Pennsylvania,DERTOWN SCHOOL,
Oklahoma,DFCU TULSA,
Missouri,DISTRICT ONE HIGHWAY,
Wisconsin,DMB Community Bank,075910484
Michigan,DOWAGIAC AREA,
Minnesota,DULUTH POLICE DEPARTMENT EMPLOYEES,
Texas,"Dalhart Federal Savings & Loan Association, SSB",311371172
Iowa,Decorah Bank & Trust Company,073921695
Illinois,Dewey Bank,
Iowa,Dysart State Bank,073906788
Illinois,EARTHMOVER,
Utah,EASTERN UTAH COMMUNITY,
Texas,EDUCATION FIRST,
Illinois,EFFINGHAM HIGHWAY,
Kansas,ELLIS,
Tennessee,ENRICHMENT,
New Jersey,ERIE LACKAWANNA RAILROAD CO EMP,
Illinois,EVANSTON FIREMENS,
Minnesota,EXPEDITION,
Massachusetts,Eastern Bank,011002550
Tennessee,Elizabethton Federal Savings Bank,264271280
Minnesota,EntreBank,
Massachusetts,Everett Co-operative Bank,211370273
Missouri,F R B,
Massachusetts,FALL RIVER MUNICIPAL,
Texas,FANNIN COUNTY TEACHERS,
Pennsylvania,FAYETTE FEDERAL EMPLOYEES,
Colorado,FELLOWSHIP,
Florida,FINANCIAL EDUCATORS,
Ohio,FIREFIGHTERS COMMUNITY CU,
North Carolina,FIRST CAROLINA PEOPLE'S,
Oklahoma,FIRST FAMILY,
Louisiana,FIRST STREET,
Michigan,FLAGSHIP COMMUNITY,
Missouri,FMB Bank,081907847
Indiana,FO ME BO CO,
Wisconsin,FORT COMMUNITY,
Texas,FORT WORTH COMMUNITY,
Wisconsin,FOX COMMUNITIES,
Pennsylvania,FREEDOM UNITED,
Texas,FRIONA TEXAS,
Iowa,Fairfax State Savings Bank,073913195
Kansas,Farmers Bank & Trust,101101989
Minnesota,Farmers State Bank of Trimont,091210757
Kentucky,Farmers & Traders Bank of Campton,
Illinois,Farmers and Merchants State Bank of Bushnell,
Iowa,Federation Bank,073915672
Georgia,First American Bank and Trust Company,061111255
Oklahoma,First Bank & Trust Company,103101631
Oklahoma,First Bank of Owasso,103112853
Illinois,First Community Bank and Trust,071911652
Illinois,First FSB of Mascoutah,
Wisconsin,First Federal Bank of Wisconsin,275971692
Illinois,"First Federal Savings and Loan Association of Central Illinois, S.B.",
Minnesota,First Financial Bank in Winnebago,091210922
Texas,First Lockhart Bank,114903213
Michigan,First National Bank & Trust Co.,075907073
Illinois,First National Bank in Olney,081204126
Texas,First National Bank of Central Texas,111926112
Louisiana,First National Bank of Louisiana,065200515
Florida,First National Bank of Wauchula,063106705
California,First Pacific Bank,
Minnesota,First Security Bank - Canby,091202736
Minnesota,First State Bank Southwest,091206101
Texas,First State Bank of Burnet,114907387
Indiana,First State Bank of Porter,071211734
Missouri,First State Community Bank,081502815
Tennessee,First Vision Bank of Tennessee,064109028
Oklahoma,Firstar Bank,103101262
Illinois,Flora Bank & Trust,081224724
Nebraska,Foundation One Bank,104907779
Missouri,Freedom Bank of Southern Missouri,081503089
Kansas,Fusion Bank,
Kansas,GARDEN CITY TEACHERS,
California,GBC International Bank,121142258
Michigan,GEORGETOWN KRAFT,
Massachusetts,GFA,
California,GLOBAL,
Wisconsin,GOLDEN RULE COMMUNITY,
Michigan,GRATIOT COMMUNITY,
Ohio,GREATER CINCINNATI SCHOOL,
Massachusetts,GREATER SPRINGFIELD,
Nebraska,GREENWICH MUNICIPAL EMPLOYEES,
Texas,GULF COAST EDUCATORS,
Kansas,Garden Plain State Bank,101101413
Georgia,Georgia Community Bank,
Texas,Global One Bank,113109982
Missouri,Grand Missouri Bank,086519816
Wisconsin,GreenLeaf Bank,075907581
Illinois,Grundy Bank,071904290
Florida,Gulfside Bank,063116902
