State,State Code,Bank Name (FDIC),Routing Number,Matched Institution Name (Fed),Routing Office City/State,Match Type,Note
Alabama,AL,22nd State Banking Company,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,AmeriFirst Bank,062104274,AMERIFIRST BANK,"UNION SPRINGS, AL",Exact,
Alabama,AL,Ameris Bank,053208066,AMERIS BANK,"MOULTRIE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Ameris Bank,061020786,AMERIS BANK,"MOULTRIE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Ameris Bank,061101126,AMERIS BANK,"MOULTRIE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,AuburnBank,062202574,AUBURNBANK,"AUBURN, AL",Exact,
Alabama,AL,BHM Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Bank Independent,062203858,BANK INDEPENDENT,"SHEFFIELD, AL",Exact,
Alabama,AL,Bank Independent,062205791,BANK INDEPENDENT,"FLORENCE, AL",Exact,
Alabama,AL,Bank of Brewton,062101455,BANK OF BREWTON,"BREWTON, AL",Exact,
Alabama,AL,Bank of England,082902139,BANK OF ENGLAND,"ENGLAND, AR",Exact,No routing number registered in AL; showing bank's routing number registered in AR
Alabama,AL,Bank of Evergreen,062105532,BANK OF EVERGREEN,"EVERGREEN, AL",Exact,
Alabama,AL,Bank of Frankewing,064106775,BANK OF FRANKEWING,"FRANKEWING, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,Bank of Hope,021214325,BANK OF HOPE,"LOS ANGELES, CA",Exact,No routing number registered in AL; showing bank's routing number registered in CA
Alabama,AL,Bank of Hope,026006224,BANK OF HOPE,"LOS ANGELES, CA",Exact,No routing number registered in AL; showing bank's routing number registered in CA
Alabama,AL,Bank of Hope,026013165,BANK OF HOPE,"LOS ANGELES, CA",Exact,No routing number registered in AL; showing bank's routing number registered in CA
Alabama,AL,Bank of Moundville,062203285,BANK OF MOUNDVILLE,"MOUNDVILLE, AL",Exact,
Alabama,AL,Bank of Walker County,062206460,BANK OF WALKER COUNTY,"JASPER, AL",Exact,
Alabama,AL,Bank47,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
